Model,MPG,Cylinders,Displacement,Horsepower,Weight,Acceleration,Year,Origin
volkswagen 1131 deluxe sedan,26,4,97,46,1835,20.5,70,Europe
volkswagen super beetle,26,4,97,46,1950,21,73,Europe
volkswagen rabbit custom diesel,43.1,4,90,48,1985,21.5,78,Europe
vw rabbit c (diesel),44.3,4,90,48,2085,21.7,80,Europe
vw dasher (diesel),43.4,4,90,48,2335,23.7,80,Europe
fiat 128,29,4,68,49,1867,19.5,73,Europe
toyota corona,31,4,76,52,1649,16.5,74,Japan
chevrolet chevette,29,4,85,52,2035,22.2,76,US
mazda glc deluxe,32.8,4,78,52,1985,19.4,78,Japan
vw pickup,44,4,97,52,2130,24.6,82,Europe
honda civic cvcc,33,4,91,53,1795,17.5,75,Japan
honda civic,33,4,91,53,1795,17.4,76,Japan
volkswagen type 3,23,4,97,54,2254,23.5,72,Europe
renault 5 gtl,36,4,79,58,1825,18.6,77,Europe
toyota starlet,39.1,4,79,58,1755,16.9,81,Japan
volkswagen model 111,27,4,97,60,1834,19,71,Europe
chevrolet woody,24.5,4,98,60,2164,22.1,76,US
toyota corolla tercel,38.1,4,89,60,1968,18.8,80,Japan
honda civic 1300,35.1,4,81,60,1760,16.1,81,Japan
datsun 710,32,4,83,61,2003,19,74,Japan
vokswagen rabbit,29.8,4,89,62,1845,15.3,80,Europe
toyota tercel,37.7,4,89,62,2050,17.3,81,Japan
plymouth horizon 4,34.7,4,105,63,2215,14.9,81,US
plymouth horizon miser,38,4,105,63,2125,14.7,82,US
plymouth champ,39,4,86,64,1875,16.4,81,US
toyota corolla 1200,31,4,71,65,1773,19,71,Japan
maxda glc deluxe,34.1,4,86,65,1975,15.2,79,Japan
datsun 210,31.8,4,85,65,2020,19.2,79,Japan
datsun 310,37.2,4,86,65,2019,16.4,80,Japan
mazda glc,46.6,4,86,65,2110,17.9,80,Japan
datsun 210 mpg,37,4,85,65,1975,19.4,81,Japan
ford escort 4w,34.4,4,98,65,2045,16.2,81,US
ford escort 2h,29.9,4,98,65,2380,20.7,81,US
ford fiesta,36.1,4,98,66,1800,14.4,78,US
datsun b210,31,4,79,67,1950,19,74,Japan
volkswagen dasher,26,4,79,67,1963,15.5,74,Europe
fiat x1.9,31,4,79,67,2000,16,74,Europe
subaru dl,30,4,97,67,1985,16.4,77,Japan
audi 5000s (diesel),36.4,5,121,67,2950,19.9,80,Europe
mercedes-benz 240d,30,4,146,67,3250,21.8,80,Europe
honda civic 1500 gl,44.6,4,91,67,1850,13.8,80,Japan
subaru,32.3,4,97,67,2065,17.8,81,Japan
honda civic (auto),32,4,91,67,1965,15.7,82,Japan
datsun 310 gx,38,4,91,67,1995,16.2,82,Japan
honda accord cvcc,31.5,4,98,68,2045,18.5,77,Japan
honda accord lx,29.5,4,98,68,2135,16.6,78,Japan
mazda glc 4,34.1,4,91,68,1985,16,81,Japan
mazda glc custom l,37,4,91,68,2025,18.2,82,Japan
mazda glc custom,31,4,91,68,1970,17.6,82,Japan
datsun 1200,35,4,72,69,1613,18,71,Japan
renault 12 (sw),26,4,96,69,2189,18,72,Europe
fiat strada custom,37.3,4,91,69,2130,14.7,79,Europe
peugeot 304,30,4,79,70,2074,19.5,71,Europe
plymouth cricket,26,4,91,70,1955,20.5,71,US
volkswagen rabbit,29,4,90,70,1937,14,75,Europe
vw rabbit,29,4,90,70,1937,14.2,76,Europe
datsun b-210,32,4,85,70,1990,17,76,Japan
datsun f-10 hatchback,33.5,4,85,70,1945,16.8,77,Japan
datsun b210 gx,39.4,4,85,70,2070,18.6,78,Japan
plymouth horizon,34.2,4,105,70,2200,13.2,79,US
plymouth horizon tc3,34.5,4,105,70,2150,14.9,79,US
mercury lynx l,36,4,98,70,2125,17.3,82,US
