Name,Sex,Age,Country,Sport,Year,Bronze Medal,Gold Medal,Silver Medal,Total Medal
Ian Millar,M,61,Canada,Equestrianism,2008,0,0,1,1
"Nicholas David ""Nick"" Skelton",M,58,Great Britain,Equestrianism,2016,0,1,0,1
Mark James Todd,M,56,New Zealand,Equestrianism,2012,1,0,0,1
"Malcolm ""Mac"" Cone",M,55,Canada,Equestrianism,2008,0,0,1,1
Santiago Ral Lange Roberti,M,54,Argentina,Sailing,2016,0,1,0,1
Philippe Rozier,M,53,France,Equestrianism,2016,0,1,0,1
"Elizabeth ""Beezie"" Madden (Patton-)",F,52,United States,Equestrianism,2016,0,0,1,1
Lesley Allison Thompson-Willie,F,52,Canada,Rowing,2012,0,0,1,1
Peter Charles,M,52,Great Britain,Equestrianism,2012,0,1,0,1
Ludger Beerbaum,M,52,Germany,Equestrianism,2016,1,0,0,1
Phillip Peter Dutton,M,52,United States,Equestrianism,2016,1,0,0,1
Abdullah Al-Rashidi,M,52,Individual Olympic Athletes,Shooting,2016,1,0,0,1
Stuart Brian Tinney,M,51,Australia,Equestrianism,2016,1,0,0,1
Peter Thomsen,M,51,Germany,Equestrianism,2012,0,1,0,1
Mary Elizabeth Thomson-King,F,51,Great Britain,Equestrianism,2012,0,0,1,1
Steffen Peters,M,51,United States,Equestrianism,2016,1,0,0,1
Jean Georges Marie Teulre,M,50,France,Equestrianism,2004,0,1,0,1
Roger-Yves Bost,M,50,France,Equestrianism,2016,0,1,0,1
Andrew Clifton Nicholson,M,50,New Zealand,Equestrianism,2012,1,0,0,1
Carl Rupert Hester,M,49,Great Britain,Equestrianism,2016,0,0,1,1
"Russell W. ""Russ"" Howard",M,49,Canada,Curling,2006,0,1,0,1
Fehaid Al-Deehani,M,49,Individual Olympic Athletes,Shooting,2016,0,1,0,1
Rajmond Debevec,M,49,Slovenia,Shooting,2012,1,0,0,1
"Deborah ""Debbie"" McDonald",F,49,United States,Equestrianism,2004,1,0,0,1
"William ""Will"" Simpson",M,49,United States,Equestrianism,2008,0,1,0,1
Robert Jeffrey Dover,M,48,United States,Equestrianism,2004,1,0,0,1
Ingrid Klimke (-Busacker),F,48,Germany,Equestrianism,2016,0,0,1,1
Eric Lamaze,M,48,Canada,Equestrianism,2016,1,0,0,1
Dorothee Schneider (-Krumhoff),F,47,Germany,Equestrianism,2016,0,1,0,1
Heidi Diethelm Gerber,F,47,Switzerland,Shooting,2016,1,0,0,1
Isabelle Regina Werth,F,47,Germany,Equestrianism,2016,0,1,1,2
Harald Stenvaag,M,47,Norway,Shooting,2000,1,0,0,1
"Wilhelm ""Willi"" Melliger",M,47,Switzerland,Equestrianism,2000,0,0,1,1
Luiz Felipe Cortizo Gonalves de Azevedo,M,47,Brazil,Equestrianism,2000,1,0,0,1
Kevin Lobdell Burnham,M,47,United States,Sailing,2004,0,1,0,1
