Lot Area,Lot Config,Home Type,Roof Style,Foundation Type,Basement Area,Heating Type,Central Air,Rooms,Fireplaces,Garage Type,Fence Type,Year,Price,Satisfaction
11241,CulDSac,Single Family,Gable,CBlock,1004,GasA,Y,5,1,Attchd,NA,2010,149000,8
8246,Inside,Single Family,Gable,CBlock,1060,GasA,Y,6,1,Attchd,MnPrv,2010,154000,8
7200,Corner,Single Family,Gable,CBlock,900,GasA,Y,5,0,Detchd,NA,2010,134800,3
11478,Inside,Single Family,Gable,PConc,1704,GasA,Y,7,1,Attchd,NA,2010,306000,5
10552,Inside,Single Family,Hip,CBlock,1398,GasA,Y,6,1,Attchd,NA,2010,165500,3
7922,Inside,Single Family,Gable,CBlock,1057,GasA,Y,5,0,Detchd,NA,2010,109000,5
7658,Inside,Townhouse,Hip,PConc,1752,GasA,Y,6,1,Attchd,NA,2010,319900,5
8472,Corner,Duplex,Gable,CBlock,816,GasA,N,5,0,CarPort,NA,2010,110000,8
10300,Inside,Single Family,Gable,BrkTil,576,GasA,Y,9,0,Detchd,GdPrv,2010,140000,8
19900,Inside,Single Family,Gable,CBlock,1947,GasA,Y,7,1,Attchd,NA,2010,180000,2
4608,Corner,Single Family,Gable,CBlock,747,GasA,Y,4,0,Attchd,NA,2010,80000,10
10200,Inside,Single Family,Gable,CBlock,1086,GasA,Y,6,0,Attchd,GdWo,2010,144900,8
5790,Corner,Single Family,Gambrel,CBlock,840,GasA,N,8,0,Detchd,NA,2010,107400,10
10778,Inside,Duplex,Hip,CBlock,1768,GasA,N,8,0,NA,NA,2010,136500,8
10625,Corner,Single Family,Gable,BrkTil,458,GasA,N,5,0,Basment,NA,2010,83000,3
9320,Inside,Single Family,Gable,CBlock,950,GasA,Y,6,0,NA,NA,2010,128950,1
10603,Inside,Single Family,Gable,PConc,1610,GasA,Y,6,2,Attchd,NA,2010,205000,4
9206,Inside,Single Family,Gable,CBlock,741,GasA,Y,7,1,Attchd,NA,2010,178000,10
10402,Corner,Single Family,Gable,PConc,1226,GasA,Y,6,0,Attchd,NA,2010,198900,6
11751,Inside,Single Family,Hip,CBlock,1844,GasA,Y,7,1,Attchd,MnPrv,2010,190000,2
7750,Inside,Single Family,Gable,PConc,384,GasA,Y,7,1,BuiltIn,NA,2010,180000,2
12376,Corner,Single Family,Hip,PConc,1673,GasA,Y,11,2,Attchd,NA,2010,320000,1
10500,FR2,Single Family,Gable,CBlock,864,GasA,Y,5,1,NA,NA,2010,115000,3
8520,Corner,Single Family,Gable,CBlock,910,GasA,Y,6,0,Detchd,MnPrv,2010,166000,4
9505,CulDSac,Single Family,Gable,PConc,884,GasA,Y,8,1,BuiltIn,NA,2010,222500,4
12003,Corner,Single Family,Gable,PConc,774,GasA,Y,8,1,BuiltIn,NA,2010,269500,2
12552,Corner,Single Family,Gable,PConc,991,GasA,Y,8,1,Attchd,GdWo,2010,254900,1
12182,Corner,Single Family,Gable,PConc,1541,GasA,Y,7,1,Attchd,NA,2010,220000,10
31770,Corner,Single Family,Hip,CBlock,1080,GasA,Y,7,2,Attchd,NA,2010,215000,2
8546,Corner,Single Family,Gable,PConc,1121,GasA,Y,5,0,Attchd,NA,2010,140000,2
